VISLAT,VISLONG,REALLAT,REALLONG,NEWLAT,NEWLONG
746421,19091,-41.38879,-2.15899,41.38879,2.15899
682947.2,7348229.7,-42.023528,71.132397,42.023528,-71.132397
435274,10260059,-44.50026,100.25069,44.50026,-100.25069
607683,1141022,-42.77617,9.06032,42.77617,-9.06032
938325,272729,-39.46975,0.37739,39.46975,-0.37739
6089618,7937814,12.04318,77.02824,-12.04318,-77.02824
3385300,-9765010,-15,-100,15,100
1871662.2,9781836.7,-30.136378,95.468467,30.136378,-95.468467
329314,-570012,-45.55986,-8.05002,45.55986,8.05002
1273468.8,8245117.1,-36.118312,80.101271,36.118312,-80.101271
4297800,16440690,-5.875,162.057,5.875,-162.057
678762,7359773,-42.06538,71.24783,42.06538,-71.24783
-1514728,15235018,-64.00028,150.00028,64.00028,-150.00028
670330,7728830,-42.1497,74.9384,42.1497,-74.9384
285300,34990,-46,-2,46,2
4424329,7643165,-4.60971,74.08175,4.60971,-74.08175
544164,10862992,-43.41136,106.28002,43.41136,-106.28002
751709,7834621,-41.33591,75.99631,41.33591,-75.99631
7385300,-13265010,25,-135,-25,135
8272085,-14885742,33.86785,-151.20732,-33.86785,151.20732
2010246,8485000,-28.75054,82.5001,28.75054,-82.5001
885268,8860017,-40.00032,86.25027,40.00032,-86.25027
1356533.9,11398920.3,-35.287661,111.639303,35.287661,-111.639303
5385300,-11765010,5,-120,-5,120
6237564,7431724,13.52264,71.96734,-13.52264,-71.96734
7885300,7334990,30,71,-30,-71
3585300,-11965010,-13,-122,13,122
2010246,8485000,-28.75054,82.5001,28.75054,-82.5001
285300,-2265010,-46,-25,46,25
1750588.2,9706410.2,-31.347118,94.714202,31.347118,-94.714202
695095.8,9000844.4,-41.902042,87.658544,41.902042,-87.658544
2010246,8485000,-28.75054,82.5001,28.75054,-82.5001
1340522,-13729260,-35.44778,-139.6425,35.44778,139.6425
2090548,8480833,-27.94752,82.45843,27.94752,-82.45843
5103494,8224157,2.18194,79.89167,-2.18194,-79.89167
3836499,6922909,-10.48801,66.87919,10.48801,-66.87919
8048633,6304990,31.63333,60.7,-31.63333,-60.7
604190,400320,-42.8111,1.6533,42.8111,-1.6533
2942453,10147756,-19.42847,99.12766,19.42847,-99.12766
1901901,9778414.1,-29.83399,95.434241,29.83399,-95.434241
1135300,-3373340,-37.5,-36.0833,37.5,36.0833
231382,10521812,-46.53918,102.86822,46.53918,-102.86822
5103494,8224157,2.18194,79.89167,-2.18194,-79.89167
982970.6,9755880.9,-39.023294,95.208909,39.023294,-95.208909
1901543.8,9808365.6,-29.837562,95.733756,29.837562,-95.733756
960279,11910109,-39.25021,116.75119,39.25021,-116.75119
484229.8,9994512.7,-44.010702,97.595227,44.010702,-97.595227
1230357.8,8972302.3,-36.549422,87.373123,36.549422,-87.373123
1363043,9978938,-35.22257,97.43948,35.22257,-97.43948
861696,611742,-40.23604,3.76752,40.23604,-3.76752
2980966,10055183,-19.04334,98.20193,19.04334,-98.20193
7885300,5634990,30,54,-30,-54
2010246,8485000,-28.75054,82.5001,28.75054,-82.5001
-714700,634990,-56,4,56,-4
485287,12285129,-44.00013,120.50139,44.00013,-120.50139
2081709.2,8424956.9,-28.035908,81.899669,28.035908,-81.899669
3822133,7399046,-10.63167,71.64056,10.63167,-71.64056
42006,12571920,-48.43294,123.3693,48.43294,-123.3693
5713633,3832601,8.28333,35.97611,-8.28333,-35.97611
1231415.4,8971478.7,-36.538846,87.364887,36.538846,-87.364887
-265426.48,247773.28,-51.5072648,0.1278328,51.5072648,-0.1278328
993594,7935015,-38.91706,77.00025,38.91706,-77.00025
1500862.9,8682395,-33.844371,84.47405,33.844371,-84.47405
